Attack Date,Strike Asset Category,Strike Asset Subtype,Asset Model (if Known),Asset Origin Domain,Additional Strike Asset Subtype,Additional Asset Model,Additional Asset Origin Domain,Number of Strike Assets,Attack Profile,Attack Location,Target 1,Type of Target 1,Level of Damage Target 1,Target 2,Type of Target 2,Level of Damage Target 2,Target 3,Type of Target 3,Level of Damage Target 3,Target 4,Type of Target 4,Level of Damage Target 4,Max Tonnage Sunk (t),Description,Source 1,Source 2,Source 3
2/24/2022,Missile,Unknown,,Unknown,,,,1,Single Asset,Territorial Waters,Seraphim Sarovskiy,Cargo ship,Some Damage,,,,,,,,,,0,Seraphim Sarovskiy attacked with a missile.,https://www.vesseltracker.com/en/Ships/Seraphim-Sarovskiy-8867222.html,https://lloydslist.com/LL1139981/Ships-hit-by-missiles-as-Ukraine-forces-defend-Odessa-and-Mariupol,
2/24/2022,Missile,Unknown,,Unknown,,,,1,Single Asset,Territorial Waters,SGV-Flot,Oil tanker,Some Damage,,,,,,,,,,0,"SGV-Flot attacked with missile, causing an onboard fire that was extinguished. ",https://www.vesseltracker.com/en/Ships/Sgv-flot-8033089.html,https://lloydslist.com/LL1139981/Ships-hit-by-missiles-as-Ukraine-forces-defend-Odessa-and-Mariupol,
3/22/2022,Missile,ATGM,9M113 Konkurs,Land,,,,2,Duo,Territorial Waters,Raptor-class,Patrol boat,Sunk/Destroyed/Immobilized,,,,,,,,,,23,"According to Ukrainian source, 2x shore-based 9M113 ATGMs used to sink Raptor-class vessel close to shore (in visual range).",https://mil.in.ua/en/news/the-russians-confirm-the-damage-to-the-raptor-class-boat-near-mariupol/,https://twitter.com/UAWeapons/status/1506229325598756872,http://www.hisutton.com/Timeline-2022-Ukraine-Invasion-At-Sea.html
3/24/2022,Missile,TBM,OTR-21 Tochka,Land,,,,1,Single Asset,Port,Saratov,Landing ship,Sunk/Destroyed/Immobilized,Tsezar Kunikov,Landing ship,Some Damage,Novocherkassk,Landing ship,Some Damage,,,,4946,"Tochka missile hit Berydansk port. Sunk Saratov, fire damage to Tsezar Kunikov and Novocherkassh.",https://news.usni.org/2022/03/25/satellite-images-confirm-russian-navy-landing-ship-was-sunk-at-berdyansk,https://www.twz.com/44904/russian-landing-ship-destroyed-in-massive-explosion-in-captured-ukrainian-port-city,
4/3/2022,Missile,AShM,Neptune,Land,,,,1,Single Asset,Sea,Admiral Essen,Frigate,Some Damage,,,,,,,,,,0,Neptune missile hit Admiral Essen with minimal damage.,https://news.yahoo.com/ukrainian-missile-strike-russian-warship-102500270.html,https://militarytimes.com/off-duty/gearscout/2022/05/12/the-neptune-anti-ship-missile-the-weapon-that-may-have-sunk-the-russian-flagship-moskva/,
4/12/2022,UAV,UCAV,Bayraktar TB2,Air,,,,1,Single Asset,Sea,Admiral Essen,Frigate,Minimal/No Damage Reported,,,,,,,,,,0,Admiral Essen shot down Bayraktar TB2 off of the Crimean coast.,https://www.navaltoday.com/2022/04/12/russia-claims-its-frigate-destroyed-ukrainian-bayraktar-drone-off-crimean-coast-video/,https://www.forbes.com/sites/davidhambling/2022/04/14/ukraines-bayraktar-drones-helped-destroy-russian-flagship/?sh=3caeba743a7a,
4/13/2022,Missile,AShM,Neptune,Land,,,,2,Duo,Sea,Moskva,Guided missile cruiser,Sunk/Destroyed/Immobilized,,,,,,,,,,12500,"Two Neptune missiles used to sink the Moskva. Its fire control radars were off, preventing it from detecting or countering the strike.",https://www.nytimes.com/2022/04/15/world/europe/russia-moskva-warship-ukraine-missiles.html,https://news.usni.org/2022/05/05/warship-moskva-was-blind-to-ukrainian-missile-attack-analysis-shows,
5/2/2022,UAV,UCAV,Bayraktar TB2,Air,,,,1,Single Asset,Territorial Waters,Raptor-class,Patrol boat,Sunk/Destroyed/Immobilized,Raptor-class,Patrol boat,Sunk/Destroyed/Immobilized,,,,,,,46,A Bayraktar TB2 sunk 2 Raptor-class vessels near Snake Island using air-launched antiship missiles.,https://www.twz.com/ukraine-claims-tb2-drones-sunk-russian-patrol-boats-off-snake-island,https://www.navalnews.com/naval-news/2022/05/surprising-success-of-ukraines-bayraktar-tb2-the-ghost-of-snake-island/,
5/7/2022,UAV,UCAV,Bayraktar TB2,Air,,,,1,Single Asset,Territorial Waters,Serna-class,Landing ship,Sunk/Destroyed/Immobilized,Raptor-class,Patrol boat,Sunk/Destroyed/Immobilized,Raptor-class,Patrol boat,Sunk/Destroyed/Immobilized,,,,151,A Bayraktar TB2 sunk 1 Serna-class and 2 Raptor-class ships near Snake Island using antiship missiles.,https://www.pravda.com.ua/eng/news/2022/05/8/7344781/,https://www.twz.com/ukraine-situation-report-tb2s-strike-russian-sam-carrying-landing-craft-at-snake-island,
6/17/2022,UAV,UCAV,Bayraktar TB2,Air,,,,1,Single Asset,Territorial Waters,Vasily Bekh,Rescue tug,Sunk/Destroyed/Immobilized,,,,,,,,,,1670,Vasily Bekh sunk with 2 anti-ship (Harpoon) missiles launched by Bayraktar TB2 off of Snake Island.,https://www.navalnews.com/naval-news/2022/06/ukraine-strikes-russias-vasily-bekh-rescue-tug/,https://maritime-executive.com/article/russia-memorializes-unacknowledged-loss-of-military-salvage-tug,
