Vessel,Civilian or Naval,Vessel Type,Vessel Class,Vessel Length (m),Vessel Maximum Tonnage (t),Source,
Admiral Essen,Naval Vessel,Frigate,Admiral Grigorovich,124.8,3860,https://www.kchf.ru/eng/ship/frigates/admiral_essen.htm,
Admiral Makarov,Naval Vessel,Frigate,Admiral Grigorovich,124.8,3860,https://www.kchf.ru/eng/ship/frigates/admiral_makarov.htm,
Akula-class,Naval Vessel,Landing ship,Akula,24,118.7,https://www.kchf.ru/eng/ship/amphibious/d106.htm,
Alrosa,Naval Vessel,Submarine,Kilo,72.6,3075,https://www.kchf.ru/eng/ship/submarines/b871.htm,
Askold,Naval Vessel,Corvette,Karakurt,67,870,https://www.kchf.ru/eng/ship/warfarecorvettes/askold.htm,
Azov,Naval Vessel,Landing ship,Ropucha,112.5,4080,"https://odin.tradoc.army.mil/WEG/Asset/Ropucha_Class_(Project_775_Class)_Russian_Landing_Ship,_Tank_(LST)",
Buyan-class,Naval Vessel,Corvette,Buyan,74.1,949,https://www.kchf.ru/eng/ship/warfarecorvettes/grayvoron.htm,
Ivan Golubets,Naval Vessel,Minesweeper ,Natya,61,800,https://www.kchf.ru/eng/ship/minewarfare/ivan_golubets.htm,
Ivan Khurs,Naval Vessel,Intelligence ship,Yuriy Ivanov,96,4000,https://www.kchf.ru/eng/ship/intelligence/ivan_khurs.htm,
Ivanovets,Naval Vessel,Corvette,Tarantul,56.1,493,https://www.kchf.ru/eng/ship/warfarecorvettes/ivanovets.htm,
Konstantin Olshansky,Naval Vessel,Landing ship,Ropucha,112.5,4080,"https://odin.tradoc.army.mil/WEG/Asset/Ropucha_Class_(Project_775_Class)_Russian_Landing_Ship,_Tank_(LST)",
Minsk,Naval Vessel,Landing ship,Ropucha,112.5,4080,"https://odin.tradoc.army.mil/WEG/Asset/Ropucha_Class_(Project_775_Class)_Russian_Landing_Ship,_Tank_(LST)",
Moskva,Naval Vessel,Guided missile cruiser,Atlant,186,12500,https://www.economist.com/the-economist-explains/2022/04/20/how-did-ukraine-destroy-the-moskva-a-large-russian-warship,
Novocherkassk,Naval Vessel,Landing ship,Ropucha,112.5,4080,"https://odin.tradoc.army.mil/WEG/Asset/Ropucha_Class_(Project_775_Class)_Russian_Landing_Ship,_Tank_(LST)",
Olenogorsky Gornyak,Naval Vessel,Landing ship,Ropucha,113,3600,https://www.yahoo.com/news/uk-intelligence-analyses-attack-russian-075035362.html,
Pavel Derzhavin,Naval Vessel,Large patrol boat,Project 22160,91.3,1965,https://www.kchf.ru/eng/ship/patrolships/pavel_derzhavin.htm,
